,0
532,38179101
533,39613101
534,16980101
535,11364101
536,39533102
537,14298101
538,17932101
539,17519102
540,39701101
541,34555101
542,35822102
543,13523101
544,37771101
545,17826101
546,13234101
547,33901102
548,13050102
549,31081101
550,17419101
551,39650102
552,31345201
553,31517101
554,30224101
555,37806102
556,35092102
557,14525102
558,16216101
559,18405101
560,18189101
561,34402101
562,39066101
563,34478101
564,34474102
565,15807101
566,37716101
567,16718101
568,14869101
569,35451102
570,35673102
571,35953101
572,10439102
573,14201101
574,11295101
575,37714101
576,32678103
577,14574202
578,17535101
579,17608101
580,33482102
581,34411101
582,39091101
583,31404101
584,15587101
585,13814101
586,39512101
587,33983101
588,32835102
589,30898102
590,31384101
591,14955101
592,30298101
593,10787103
594,13885102
595,35841101
596,38072102
597,16239102
598,30498101
599,33439101
600,10017101
601,12208102
602,30129101
603,12590102
604,32474101
605,13649102
606,38443102
607,12203102
608,16249102
609,32843102
610,37360106
611,31256101
612,18513101
613,16397101
614,34802104
615,38948101
616,35749102
617,33667101
618,11174102
619,12388101
620,32714102
621,34113101
622,10327102
623,36558101
624,35260101
625,31842101
626,38835101
627,39628102
628,39639101
629,39304101
630,10396104
631,13423102
632,17568102
633,37446102
634,17614101
635,12167101
636,16284101
637,39186103
638,10396102
639,18091101
640,16960102
641,34373102
642,12935101
643,32449102
644,30615101
645,11005101
646,13089101
647,15946101
648,35563201
649,32726101
650,33590102
651,31954101
652,12454102
653,11152101
654,17227101
655,15430101
656,33275102
657,13844101
658,15023101
659,38497102
660,14089102
661,34063101
662,18478201
663,36387101
664,13105103
665,32387102
666,17782101
667,16023102
668,16391102
669,16397102
670,34463105
671,16366101
672,37262102
673,15525101
674,31396102
675,35540101
676,18230101
677,36190101
678,37417102
679,10751101
680,30202101
681,31291105
682,36508102
683,37276101
684,15680102
685,36176101
686,11618106
687,18517102
688,38294102
689,18224103
690,10897101
691,18610101
692,33928101
693,35831101
694,35823103
695,16810102
696,34374102
697,37186101
698,38797103
699,30907101
700,32114101
701,16991102
702,31556101
703,10330102
704,34753102
705,11369101
706,16276102
707,35154103
708,15680101
709,33591103
710,18338101
711,38363101
712,31307101
713,35833101
714,32274102
715,37523101
716,14542101
717,12831102
718,18089101
719,35996101
720,12716101
721,11174101
722,17395102
723,10178102
724,16119101
725,12059103
726,31058101
727,30542101
728,15439103
729,35155101
730,10357101
731,15557102
732,38221101
733,11041101
734,13286101
