,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6
$4000-$5000,0.21600000000000003,0.213792,0.175919881,0.12819178459699998,0.08854773519784698,0.059730129416458055
$5000-$6000,0.19,0.222408,0.1802738960000001,0.1316006393489998,0.09151426809347019,0.06208799415138044
$6000-$7000,0.218,0.21211,0.1737292729999999,0.12723388926900014,0.08856787820847078,0.060111449334185885
$7000-$8000,0.188,0.229326,0.18108991999999996,0.13037257869099994,0.09000871912731212,0.06084855267337186
$8000+,0.22899999999999998,0.22310999999999998,0.17238319800000002,0.12285834858199995,0.08440902144865003,0.05693296957834271
