,0
532,30692102
533,37264102
534,17614102
535,34059102
536,13389102
537,32726101
538,34262102
539,34691103
540,13652101
541,15466101
542,36425101
543,15859102
544,10305103
545,32638101
546,36943101
547,12584101
548,12286101
549,30623101
550,16329101
551,13879102
552,31116101
553,10020101
554,31548102
555,31297103
556,33758101
557,32453101
558,30898102
559,32375101
560,35329101
561,12390102
562,16167102
563,35810101
564,30771103
565,14725101
566,34665101
567,38255102
568,39123101
569,33462101
570,32739101
571,13457101
572,35138101
573,17733101
574,16943101
575,37730102
576,17844102
577,34667102
578,38841101
579,10190101
580,31885101
581,30622101
582,14972102
583,18650104
584,17826101
585,33488102
586,31540102
587,36175102
588,31262102
589,11510101
590,38222101
591,36080101
592,14376102
593,14690101
594,37276101
595,33993102
596,15575101
597,37674101
598,36412101
599,32350102
600,15177101
601,31267103
602,16288102
603,18213101
604,14664102
605,35991101
606,32843104
607,11301102
608,35734102
609,31384102
610,15558102
611,37067101
612,36447103
613,13337102
614,30008101
615,30391101
616,32109101
617,10823102
618,34775101
619,38179102
620,15196101
621,16182103
622,15025103
623,34370103
624,17649102
625,32361101
626,37987101
627,35266101
628,32840102
629,18160101
630,35517101
631,13205101
632,37626101
633,32445101
634,11984102
635,33538101
636,12426102
637,36485105
638,31908102
639,35568102
640,13371101
641,34555102
642,34664101
643,16104101
644,30202101
645,33552103
646,17174101
647,12213101
648,13246101
649,12460101
650,10521101
651,36038101
652,11371102
653,17671101
654,31497101
655,16542101
656,35160101
657,11087102
658,18401102
659,37264101
660,39425101
661,30409101
662,33832101
663,34505101
664,10997101
665,13551101
666,33560102
667,37028102
668,35392103
669,30114101
670,33303102
671,15770101
672,13830101
673,16821101
674,18650102
675,37947104
676,38243102
677,37848101
678,33726101
679,37505101
680,33262101
681,32456103
682,11035101
683,11433102
684,13047101
685,37505102
686,12851101
687,11063101
688,10632101
689,15019102
690,36678101
691,14658102
692,31121105
693,18603101
694,17810101
695,33455102
696,17444101
697,12618101
698,15655102
699,12514101
700,13337101
701,38565105
702,34715101
703,36693102
704,15176102
705,18356102
706,14507103
707,12470102
708,16037102
709,39461102
710,16153102
711,16495101
712,14173101
713,16848101
714,13611101
715,32099103
716,18666102
717,36878102
718,38669101
719,17898102
720,33773101
721,37404101
722,31888102
723,38730101
724,14816102
725,36151101
726,39410101
727,37822101
728,35710102
729,37502102
730,15108102
731,12814102
732,13777101
733,31552101
734,34802102
735,36593102
736,13749101
737,39128102
738,35154102
739,17950101
740,12542103
741,37302102
742,12480103
743,30572110
744,14766101
745,10206101
746,35864103
747,38303102
748,14293102
749,18242101
750,13969104
751,17197101
752,10653102
753,12542102
754,34736101
755,36163201
756,10330101
757,39183101
758,13457102
759,10376101
760,10314103
761,32330101
762,37073102
763,35022103
764,16387101
765,33455101
766,31533102
767,38763101
768,38507101
769,32385101
770,39644102
771,31423101
772,31556102
773,15206102
774,17579101
775,33656102
776,30940102
777,13638103
778,34114104
779,10104101
780,18002101
781,13421101
782,14306101
783,14311101
784,11286102
785,33756101
786,14809101
787,14118102
788,12362102
789,11364101
790,34951103
791,11271103
792,11730101
793,31566102
794,12726101
795,30632101
796,30997101
797,35670101
798,36500102
799,31267101
800,35036101
801,15024102
802,38107102
803,35555101
804,11001102
805,15651101
806,17619102
807,38689101
808,10923103
809,18567102
810,14430101
811,39393201
812,30404101
813,32323102
814,14555101
815,14926101
816,12203101
817,12116101
818,37947103
819,16650101
820,13405101
821,31293102
822,30683101
823,31262103
824,16507102
825,37757101
826,33984102
827,12501102
828,39481101
829,39701101
830,30327101
831,33390201
832,35517102
833,14910102
834,39318101
835,36043101
836,17014102
837,32507105
838,13554102
839,36057101
840,18089101
841,16837102
842,16134101
843,12750102
844,15670101
845,15680102
846,32899102
847,31646102
848,32062102
849,11875101
850,15897101
851,37952101
852,37971103
853,33661101
854,37836106
855,34453101
856,34874102
857,11403102
858,37360102
859,11126102
860,13726102
861,10295102
862,11152101
863,35061102
864,32699103
865,11570103
866,39512103
867,34757101
868,38031102
869,36014101
870,13292101
871,10095101
872,34096101
873,14651104
874,13801101
875,16429101
876,33403101
877,11536102
878,37005102
879,37553101
880,39274102
881,11793101
882,13241102
883,13893101
884,35902101
885,39628102
886,33874102
887,16864102
888,16135101
889,15289104
890,16752102
891,33319101
892,17627101
893,34014101
894,38299103
895,31449201
896,34728102
897,10885104
898,10327102
899,34096102
900,12647101
901,34715102
902,15512101
903,30623102
904,11951101
905,11154102
906,34463105
907,10690201
908,37501101
909,17207102
910,39645102
911,15523101
912,10253102
913,14544103
914,35403101
915,38289101
916,31434101
917,38948102
918,11585101
919,35896101
920,37502104
921,39444101
922,11418102
923,11477101
924,31497103
925,35000101
926,38583101
927,32341101
928,34957101
929,16531101
930,10797101
931,11097102
932,10732102
933,38205103
934,36281102
935,15149102
936,34752101
937,31920102
938,33714102
939,32087101
940,10019101
941,34526101
942,37173102
943,36488102
944,37084101
945,12681101
946,39589101
947,14910101
948,38265101
949,37106101
950,31192101
951,30815101
952,13156101
953,10314101
954,35670102
955,12226102
956,34362101
957,13352102
958,15061101
959,14420102
960,13372102
961,32943102
962,37566101
963,16624101
964,10034102
965,32903101
966,38554101
967,16604102
968,10138102
969,35063102
970,35703102
971,11151101
972,13785101
973,17942101
974,39378102
975,30994102
976,34951102
977,33130101
978,36652101
979,15709102
980,13882101
981,17932102
982,37268103
983,39671103
984,13659102
985,38572101
986,32561101
987,17483102
988,15345102
989,11461101
990,33601102
991,10385102
992,17580102
993,16366101
994,18716101
995,16697102
996,15617102
997,11376101
998,13182102
999,36540101
1000,15273101
1001,35745101
1002,32176101
1003,30599101
1004,18424102
1005,13851101
1006,18513101
1007,36677103
1008,32782102
1009,16000103
1010,16119101
1011,34753102
1012,32488101
1013,11787102
1014,33656101
1015,38818101
1016,36216101
1017,31618102
1018,34577102
1019,35212103
1020,36808102
1021,16845103
1022,36285102
1023,30892102
1024,18654101
1025,32844101
1026,30328101
1027,35737101
1028,34555103
1029,38067102
1030,32024102
1031,12872101
1032,30101105
1033,33865102
1034,35864101
1035,38741102
1036,34153101
1037,36142102
1038,39627101
1039,36666101
1040,13193102
1041,36312102
1042,15265101
1043,16639101
1044,37780101
1045,13601103
1046,31263103
1047,36011101
1048,11005101
1049,18653101
1050,35603101
1051,34631102
1052,18429101
1053,31723102
1054,15829101
1055,30536102
1056,11493101
1057,31324101
1058,11492101
1059,16597101
1060,15617104
1061,39140101
1062,11826101
1063,10696101
1064,16980101
1065,13461101
1066,39392103
1067,34724101
1068,39079101
1069,33819101
1070,35299101
1071,37031101
1072,11088101
1073,12534102
1074,30241101
1075,13539101
1076,30514101
1077,37937102
1078,13525101
1079,31732101
1080,35739101
1081,31588101
1082,34908104
1083,15153101
1084,37791102
1085,15390101
1086,30406101
1087,30209101
1088,36636102
1089,31842101
1090,35202101
1091,30409102
1092,13844101
1093,13970104
1094,11278101
1095,17915102
1096,10852102
1097,10376102
1098,17798101
1099,34650101
1100,12021101
1101,35022102
1102,16416101
1103,10903102
1104,38652101
1105,32620102
1106,33991102
1107,13578101
1108,14119101
1109,15838101
1110,16960101
1111,31723103
1112,34384102
1113,33201101
1114,37044101
1115,32714101
1116,17208101
1117,33882102
1118,16391103
1119,12732101
1120,30963103
1121,12246101
1122,34664105
1123,39403103
1124,10292101
1125,16227101
1126,37562102
1127,38042101
1128,10145102
1129,11207101
1130,16133101
1131,30689102
1132,38328102
1133,32622201
1134,38195101
1135,17648102
1136,39208101
1137,38939101
1138,17075101
1139,16756101
1140,39644101
1141,16332102
1142,10269202
1143,11261101
1144,35805102
1145,11381101
1146,15740101
1147,11002101
1148,33681101
1149,37307101
1150,10198103
1151,15845103
1152,16695101
1153,38634102
1154,35846102
1155,15024105
1156,38578102
1157,37783101
1158,34161101
1159,12531101
1160,32669102
1161,11573101
1162,33658102
1163,37070101
1164,39308101
1165,11717101
1166,12960101
1167,13433101
1168,36742102
1169,31582102
1170,18424101
1171,17531101
1172,34056101
1173,36601101
1174,16135102
1175,33239102
1176,30393101
1177,17823104
1178,16867101
1179,36157101
1180,12686101
1181,11301101
1182,13585101
1183,31784101
1184,16503101
1185,15546102
1186,33714101
1187,10990102
1188,30514102
1189,16284102
1190,34152101
1191,17823101
1192,30289102
1193,18254101
1194,12523101
1195,17829102
1196,15000101
1197,36925101
1198,33262102
1199,35508101
1200,39392102
1201,37446101
1202,37577102
1203,33602102
1204,38487102
1205,11365101
1206,10511102
1207,17932101
1208,16697101
1209,18239102
1210,10133101
1211,37242102
1212,31024101
1213,33157101
1214,18671102
1215,33384101
1216,13958102
1217,32628101
1218,17328101
1219,16208102
1220,37450102
1221,37884101
1222,34127101
1223,38706105
1224,38319101
1225,13293101
1226,34297101
1227,35819101
1228,30773102
1229,31131102
1230,37045101
1231,13589101
1232,17568102
1233,10867101
1234,34111102
1235,38241101
1236,18331101
1237,31661101
1238,32286101
1239,37243101
1240,35099101
1241,35184101
1242,10783101
1243,10617102
1244,14621101
1245,34553101
1246,38426102
1247,12724102
1248,14308102
1249,11335102
1250,18385102
1251,37728102
1252,33425103
1253,10563101
1254,32024101
1255,11029101
1256,33055103
1257,35640103
1258,11787103
1259,17901102
1260,31566101
1261,17126101
1262,36499101
1263,18457101
1264,38261101
1265,12953101
1266,18719102
1267,12761102
1268,30919102
1269,36919101
1270,14674101
1271,34181101
1272,10441102
1273,12281102
1274,13289101
1275,16836101
1276,17826103
1277,10033101
1278,34727102
1279,18135201
1280,32814102
1281,16341102
1282,31268102
1283,18636102
1284,14066101
1285,33893102
1286,39298101
1287,31427101
1288,35813101
1289,14606101
1290,18466101
1291,31989101
1292,14748101
1293,34960104
1294,11912101
1295,36875101
1296,30619101
1297,37050102
1298,13233101
1299,35237101
1300,30898101
1301,35650101
1302,33080102
1303,35117102
1304,17372101
1305,39360101
1306,31095102
1307,14215101
1308,16328102
1309,18104102
1310,34978102
1311,12590102
1312,30100101
1313,12203102
1314,13295101
1315,34463102
1316,37660102
1317,14578107
1318,17544102
1319,33920102
1320,13269102
1321,33079101
1322,39183201
1323,36233101
1324,18079102
1325,15213102
1326,30525101
1327,14528102
1328,11942101
1329,16430101
1330,14333101
1331,12477103
1332,37365101
1333,17957101
1334,18284102
1335,32235101
1336,17757102
1337,18416101
1338,37462101
1339,17038102
1340,37055102
1341,34493104
1342,34689101
1343,15742101
1344,33839101
1345,33255101
1346,35965101
1347,13193101
1348,10835101
1349,34981102
1350,38662101
1351,33419104
1352,38698101
1353,32946101
1354,39151101
1355,18139101
1356,36051101
1357,33959102
1358,33459102
1359,11185101
1360,30013102
1361,32709101
1362,31849101
1363,38902101
1364,35441103
1365,39386101
1366,34664104
1367,30978104
1368,30327102
1369,33863102
1370,34373101
1371,31986101
1372,16810102
1373,15134102
1374,34563101
1375,16574102
1376,18404101
1377,38487101
1378,34181102
1379,35622101
1380,33183102
1381,14093104
1382,37716101
1383,36287101
1384,33618101
1385,33935102
1386,39639101
1387,39379101
1388,10687102
1389,32678101
1390,16263101
1391,15453101
1392,30829101
1393,10789102
1394,35078101
1395,16757102
1396,16301101
1397,31002102
1398,12088103
1399,15240101
1400,30284101
1401,15748103
1402,37294101
1403,35477101
1404,13601102
1405,37912102
1406,17109102
1407,36020102
1408,12650103
1409,12744102
1410,36134101
1411,11333101
1412,37308102
1413,35749101
1414,12552102
1415,10197102
1416,13524101
1417,13597101
1418,11653102
1419,38940101
1420,32266102
1421,12980102
1422,31790102
1423,13423103
1424,30231102
1425,34029101
1426,17648101
1427,14119102
1428,31439101
1429,12750101
1430,33742101
1431,18354102
1432,36538101
1433,32861101
1434,17303101
1435,10674102
1436,11570101
1437,30639101
1438,10946102
1439,13079101
1440,17578102
1441,17547101
1442,31242101
1443,17810102
1444,18032101
1445,16923102
1446,32173101
1447,14143101
1448,37627102
1449,33098101
1450,34142102
1451,31136101
1452,35988101
1453,32577101
1454,34490101
1455,35692102
1456,35323103
1457,11826102
1458,39396101
1459,36671102
1460,35996101
1461,34080102
1462,14477102
1463,33297101
1464,16951101
1465,14266101
1466,32286102
1467,37689101
1468,12334102
1469,15605101
1470,35710101
1471,38629101
1472,18515101
1473,12059103
1474,36522101
1475,18582101
1476,18224101
1477,16865101
1478,33425101
1479,32764102
1480,34205101
1481,32874107
1482,12557101
1483,37629102
