Final,Weight
FALSE,3662.66
FALSE,4709.96
FALSE,3965.49
FALSE,3352.69
FALSE,2475.1
FALSE,2164.29
FALSE,2164.29
FALSE,5109.63
FALSE,1901.13
FALSE,3035.51
FALSE,5534.19
FALSE,3497.24
10190101,27385.7
10190102,26910.78
FALSE,3001.93
10193101,2384.79
10193102,0
10197101,15211.66
10197102,18261.9
10197103,12364.77
10198101,4661.25
10198102,6382.33
10198103,2071.83
FALSE,4410.33
FALSE,2760.59
FALSE,2838.05
FALSE,2244.98
FALSE,0
FALSE,0
FALSE,8473.11
FALSE,8770.06
FALSE,10439
FALSE,17008.2
FALSE,27685.13
FALSE,40588.21
FALSE,0
10201101,7652.97
FALSE,5123.92
FALSE,7967.02
FALSE,0
FALSE,15787.11
FALSE,19941.59
FALSE,19729.66
FALSE,15346.19
FALSE,7018.63
FALSE,4814.97
FALSE,5130.22
FALSE,5600.09
FALSE,5249.03
10206101,9457.4
10206102,9902.82
FALSE,8154.22
FALSE,8857.21
FALSE,8456.53
10208101,23851.66
10208102,18813.87
FALSE,10716.8
FALSE,11689.75
FALSE,17189.62
FALSE,5384.5
10220101,8162.29
10220102,7666.5
FALSE,21926.23
FALSE,9223.88
FALSE,11663.63
FALSE,14924.69
10227101,9926.35
FALSE,12211.93
10227103,10347.38
FALSE,11732.97
FALSE,11009.45
FALSE,12522.77
FALSE,9345.66
FALSE,11830.86
10231101,19663.02
10232101,3864.92
10233101,16840.07
10233102,25550.82
FALSE,10217.38
FALSE,19245.88
FALSE,16688.72
FALSE,12252.39
10237101,7696.46
10237102,9197.99
10237103,8008.52
FALSE,5107.43
FALSE,4120.26
FALSE,4584.26
FALSE,4579.52
FALSE,9785.34
10241102,8835.8
FALSE,2849.22
10242102,3753.61
10242103,3969.2
10242104,3527.03
FALSE,25435.4
FALSE,9663.84
10245101,16986.3
10245102,12916.85
10245103,14908.67
FALSE,16729.05
FALSE,18602.32
10247101,6873.87
10248101,8694.02
10248102,7335.17
FALSE,10309.85
FALSE,6960.69
FALSE,5578.91
FALSE,4973.92
FALSE,7269.19
FALSE,17077.99
10253102,23546.11
FALSE,19804.81
FALSE,19804.81
FALSE,11570.39
10255101,5010.04
FALSE,3359.13
FALSE,5916.3
FALSE,51113.54
FALSE,0
FALSE,0
FALSE,0
10258101,19903.51
10258102,15119.96
FALSE,16295.4
FALSE,21050.8
FALSE,4376.01
FALSE,6973.89
FALSE,5184.41
FALSE,2587.55
FALSE,4884.69
FALSE,10720.61
FALSE,27241.32
FALSE,2447.52
FALSE,4674.04
FALSE,4003.56
FALSE,3359.91
FALSE,13904.8
FALSE,16809.4
FALSE,8494.6
FALSE,7568.6
FALSE,5949.39
FALSE,3343.77
10269202,4325.95
FALSE,0
10270101,17273.37
10270102,15104.13
FALSE,17570.37
FALSE,20991.25
10271102,15016.71
FALSE,20070.07
FALSE,24257.29
FALSE,28355.14
FALSE,10477.71
FALSE,0
FALSE,5759.89
FALSE,5400.72
FALSE,8192.04
FALSE,6564.67
FALSE,7490.19
10277101,9595.5
10277102,4788.35
FALSE,16860.83
FALSE,12872.44
FALSE,8637.74
10278104,8066.36
FALSE,6877.77
10282101,16173.95
FALSE,13712.21
10283201,2731.21
FALSE,3817.84
FALSE,8779.72
FALSE,3008.77
FALSE,0
FALSE,4455.64
FALSE,1849
FALSE,2000.03
FALSE,2626.35
FALSE,1147.63
FALSE,1147.63
FALSE,1840.73
FALSE,1840.73
10290101,9182.27
10290102,9136.06
10292101,13805.97
10293101,5033.56
10294101,31110.96
10295101,3490.82
10295102,4703.63
10296101,9606.49
10296102,8138.36
FALSE,15255.49
10299101,5709.7
10299102,8906.91
FALSE,5150.02
FALSE,5382.72
FALSE,5714.14
FALSE,4575.71
FALSE,5252.59
FALSE,4591.84
FALSE,5300.35
10305101,4398.62
FALSE,3348.32
10305103,5388.44
FALSE,4019.07
FALSE,8386.21
FALSE,5850.44
FALSE,5722.27
FALSE,23412.24
FALSE,19972.03
FALSE,10928.14
FALSE,5880.91
FALSE,3459.17
FALSE,4790.31
FALSE,0
FALSE,0
10314101,28576.97
10314102,22585.69
10314103,29402.94
10315101,6090.53
FALSE,5221.88
FALSE,4687.27
FALSE,7075.84
FALSE,5203.57
FALSE,8620.54
FALSE,0
FALSE,0
FALSE,6723.31
FALSE,14648.98
FALSE,0
FALSE,9673.27
FALSE,6587.37
FALSE,10431.33
FALSE,9759.17
FALSE,3241.77
10324102,7142.64
10325101,15267.17
10325102,9497.86
FALSE,5170.32
FALSE,11445.43
10327102,45048.64
FALSE,17813.38
FALSE,2456.6
FALSE,3459.57
FALSE,0
10330101,6253.85
10330102,9727.82
FALSE,8170.5
FALSE,8994.58
FALSE,10947.16
10331101,5083.03
10331102,3100.73
10332101,8976.34
FALSE,7536.1
FALSE,5729.5
10334101,8829.67
FALSE,12561.33
FALSE,6405.17
FALSE,4737.65
FALSE,7384.06
FALSE,5027.63
FALSE,11863.8
FALSE,12575.27
FALSE,16823.15
FALSE,3535.1
FALSE,3046.75
FALSE,3908.57
FALSE,1844.1
10345101,20585.64
FALSE,11532.49
10347101,5008.31
FALSE,17706.71
FALSE,11722.85
FALSE,5395.04
FALSE,5294.96
FALSE,7506.41
10353101,15069.95
10353102,6005.77
10355101,5088.17
10355102,4963.58
FALSE,6339.54
FALSE,6688.16
FALSE,7365.63
FALSE,3717.25
10357101,12721.67
FALSE,10035.25
FALSE,5378.75
FALSE,15902.41
FALSE,14277.96
FALSE,1956.75
FALSE,0
FALSE,3564.65
10362101,9942.06
FALSE,2656.64
FALSE,3165.95
FALSE,2783.97
FALSE,1646.85
FALSE,18994.3
FALSE,18759.31
FALSE,28539.92
FALSE,2666.06
FALSE,3154.89
FALSE,5525.21
FALSE,3694.39
FALSE,3762.75
FALSE,4482.26
FALSE,17919.21
FALSE,12061.69
FALSE,11217.2
FALSE,14916.08
FALSE,3168.69
FALSE,2810.73
FALSE,3988.7
FALSE,6314.61
10372102,7811.15
10373101,11164.02
10374101,6025.35
10374102,4244.84
FALSE,4197.71
FALSE,18104.79
10376101,15988.49
10376102,17653.03
FALSE,6195.97
FALSE,13428.27
10378201,16951.52
FALSE,4680.16
FALSE,5405.98
FALSE,5253.46
FALSE,7585.83
FALSE,7942.89
FALSE,8262.09
FALSE,16638.61
FALSE,11293.2
FALSE,11126.34
10385102,10322.57
FALSE,10924.23
FALSE,14149.16
FALSE,12678.94
10385106,0
FALSE,0
FALSE,10637.05
FALSE,10637.05
FALSE,7789.06
10386102,9451.39
10387101,16457.86
FALSE,12727.82
FALSE,19842.86
FALSE,7015.73
FALSE,12901.26
10390102,0
FALSE,12658.92
FALSE,6497.31
FALSE,9654.19
FALSE,6133.29
FALSE,5831.22
FALSE,5286.49
FALSE,7385.29
FALSE,4942.08
FALSE,4192.55
FALSE,8561.83
10396102,9804.98
10396103,12363.38
10396104,9667.7
10397101,21183.35
10398101,26642.32
FALSE,2109.11
FALSE,3971.07
FALSE,4668.76
FALSE,2998.58
FALSE,3674.63
FALSE,3674.63
10400101,29467.39
FALSE,4351.2
FALSE,2001.59
FALSE,2437.58
10403101,6632.08
10404101,17454.79
FALSE,20599.48
10406101,28122.4
FALSE,0
FALSE,1863.74
FALSE,2412.46
FALSE,3489.68
FALSE,1265.85
FALSE,7479.28
FALSE,9854.89
FALSE,11318.56
FALSE,9776.87
FALSE,3509.8
FALSE,4108.13
FALSE,3341.9
FALSE,3977.88
FALSE,2580.45
FALSE,5298.65
FALSE,3876.76
FALSE,3027.03
FALSE,4947.55
FALSE,3238.55
FALSE,4566.71
FALSE,16101.27
FALSE,11917.62
FALSE,15949.97
FALSE,9535.41
FALSE,7440.29
FALSE,6733.69
FALSE,7002.12
10417101,26457.54
FALSE,3437.41
FALSE,3560.38
FALSE,4886.21
FALSE,3400.37
FALSE,8650.33
FALSE,7294.55
FALSE,3952.5
